step,phi_max,twist_energy_max,soliton_energy,twist_energy,gravity_energy,discarded_energy,alpha_pwari,emitted_energy_cumulative,Lz
0,0.99972,6.90257e-02,8.71615e+01,3.37192e+00,1.86225e+01,1.22646e-03,0.03868586,0.00000e+00,-1.75427e-04
100,0.14982,1.57845e-03,3.96509e+02,1.33901e+00,4.25082e+01,1.07964e-02,0.00337700,1.49749e+00,2.93107e-05
200,0.08154,2.01826e-03,1.65107e+02,1.00883e+00,1.84540e+01,8.17343e-03,0.00611014,3.22380e+00,-2.90438e-05
300,0.15314,1.64281e-03,2.40328e+02,5.37244e-01,1.07715e+01,4.33861e-03,0.00223546,4.93906e+00,-1.78043e-05
400,0.15867,1.74632e-03,7.80216e+01,1.78338e+00,5.48061e+00,1.48087e-02,0.02285752,6.64499e+00,-7.03191e-05
500,0.14766,1.51413e-03,2.90043e+02,3.63865e-01,3.72699e+00,3.00297e-03,0.00125452,8.33929e+00,-4.25545e-05
600,0.16591,1.89913e-03,1.76221e+02,2.15314e+00,4.07378e+00,1.77835e-02,0.01221840,1.00280e+01,7.75572e-06
700,0.22670,3.55444e-03,2.30163e+02,2.37441e+00,4.25913e+00,1.91711e-02,0.01031622,1.17034e+01,5.03965e-05
800,0.56535,2.20300e-02,1.58554e+02,2.53165e+00,5.48646e+00,2.04962e-02,0.01596712,1.33683e+01,2.73505e-05
900,0.20673,3.02305e-03,3.08972e+02,1.80221e-01,1.07476e+01,1.52064e-03,0.00058329,1.50035e+01,1.23351e-05
1000,0.05886,1.04986e-02,9.49528e+01,9.60738e-01,1.14503e+01,7.85222e-03,0.01011806,1.66462e+01,-1.32876e-05
1100,0.34994,8.41465e-03,1.42068e+02,6.56762e-01,2.38361e+01,5.36855e-03,0.00462287,1.82862e+01,1.58251e-05
1200,0.18092,2.29046e-03,1.30142e+02,1.01664e+00,9.24923e+00,8.57689e-03,0.00781175,1.99222e+01,2.94596e-06
1300,0.14031,1.36799e-03,1.75908e+02,9.54986e-01,4.06571e+00,7.82396e-03,0.00542891,2.15549e+01,1.72066e-05
1400,0.19309,2.61194e-03,1.05807e+02,1.50798e+00,2.65363e+00,1.51479e-02,0.01425213,2.31839e+01,-2.17370e-05
1500,0.23292,3.74274e-03,1.53013e+02,1.14744e+00,2.40589e+00,1.00593e-02,0.00749898,2.48082e+01,9.14044e-06
1600,0.31364,6.90123e-03,1.72298e+02,8.33710e-01,2.11759e+00,7.34034e-03,0.00483876,2.64265e+01,5.99448e-06
1700,0.17829,2.23361e-03,1.36030e+02,3.87704e-01,2.28378e+00,4.50017e-03,0.00285013,2.80351e+01,9.96737e-06
1800,0.08109,4.24416e-03,9.33756e+01,5.26595e-01,2.21929e+00,4.72127e-03,0.00563954,2.96357e+01,5.23989e-06
1900,0.34166,7.89567e-03,1.76214e+02,6.81224e-01,4.98701e+00,6.15275e-03,0.00386589,3.12270e+01,1.96811e-05
2000,0.46017,1.48023e-02,1.27507e+02,1.37441e+00,7.43608e+00,1.17228e-02,0.01077909,3.28135e+01,4.17220e-05
2100,0.16770,3.00646e-03,1.01065e+02,1.01188e+00,6.40486e+00,8.67993e-03,0.01001221,3.43883e+01,2.60583e-05
2200,0.25967,4.61888e-03,1.29147e+02,6.93338e-01,5.81487e+00,7.97635e-03,0.00536860,3.59701e+01,-3.35878e-05
2300,0.26380,4.85279e-03,1.40373e+02,5.53093e-01,4.03981e+00,5.87119e-03,0.00394016,3.75471e+01,1.88102e-05
2400,0.15439,1.64738e-03,9.60790e+01,6.46503e-01,2.26912e+00,9.39916e-03,0.00672887,3.91192e+01,-2.99504e-06
