height_1,height_2,height_3,n_peaks,r_peak_1,r_peak_2,r_peak_3,step,twist_total
0.046592,,,1,0.2,,,0,3.3719180223005836
0.000214,0.001514,,2,0.4,1.0,,100,1.3390113730662856
0.001333,0.000916,0.000382,3,0.2,0.8,1.6,200,1.008825832990539
0.001466,0.000427,,2,0.2,1.4,,300,0.5372438707779742
0.001377,0.000696,,2,0.4,1.8,,400,1.7833798807718322
0.000879,0.000138,,2,0.2,1.8,,500,0.36386471584531344
0.000183,0.000875,,2,0.2,1.6,,600,2.153142221020994
0.001415,0.002371,,2,0.2,1.0,,700,2.3744143261503576
0.020471,,,1,0.2,,,800,2.5316517591556975
0.001959,,,1,0.4,,,900,0.18022081463622225
0.009444,,,1,0.4,,,1000,0.9607376426254294
0.006661,,,1,0.2,,,1100,0.6567623320856069
0.001734,0.000103,,2,0.8,1.8,,1200,1.0166369412703427
0.000823,0.000581,,2,0.4,1.4,,1300,0.9549861754015508
0.00199,0.000466,,2,0.2,1.8,,1400,1.507979057379648
0.001723,9e-05,,2,0.2,1.8,,1500,1.1474406095941725
0.005452,,,1,0.2,,,1600,0.8337095261744261
0.001436,8.6e-05,9.9e-05,3,0.4,1.2,2.0,1700,0.3877041352315464
0.003294,0.000243,,2,0.2,1.4,,1800,0.526595010006653
0.007472,,,1,0.2,,,1900,0.6812236518419411
0.011992,,,1,0.4,,,2000,1.3744055854860318
0.001588,0.000865,,2,0.2,1.2,,2100,1.011879084955199
0.002854,0.000261,,2,0.2,1.6,,2200,0.6933378378004067
0.002194,,,1,0.4,,,2300,0.5530926276992534
0.000986,0.000601,0.00016,3,0.2,0.8,1.8,2400,0.6465029905497115
0.002321,0.00015,,2,0.4,1.8,,2500,0.4326850072662082
0.000197,0.000253,,2,0.2,1.0,,2600,0.5455249334847234
0.002334,,,1,0.2,,,2700,1.1624849702984938
0.011758,,,1,0.2,,,2800,1.3441297316938159
0.002701,0.000264,,2,0.4,1.4,,2900,0.5866380588056644
0.001389,0.000296,,2,0.4,1.2,,3000,0.4081855394086263
0.005932,,,1,0.2,,,3100,0.58801970790595
0.002122,,,1,0.4,,,3200,0.48281206181140707
0.000698,0.000409,,2,0.2,0.8,,3300,0.5365314580862283
0.004859,0.000277,,2,0.2,1.6,,3400,0.9394741575741412
0.001227,,,1,0.6,,,3500,0.9906302127632507
0.007643,,,1,0.2,,,3600,0.7917605931391943
0.003505,,,1,0.4,,,3700,0.5391407500237221
0.000567,0.000145,,2,0.2,1.4,,3800,0.292451501824442
0.005583,,,1,0.2,,,3900,0.4292779529749019
0.004429,,,1,0.4,,,4000,0.8127978223249364
0.002409,0.000665,,2,0.4,1.0,,4100,0.8938017810391541
0.002389,0.000377,,2,0.2,1.2,,4200,0.7518987885155228
0.004757,,,1,0.4,,,4300,0.7099344260275902
0.000708,0.000739,6.3e-05,3,0.2,0.8,1.8,4400,0.5169693127554112
