step,Lz_total
0,0.0
100,-3.0502298481601374e-14
200,8.474210916320501e-14
300,1.4399176295754046e-12
400,4.921452134709625e-12
500,1.0215162049576065e-11
600,1.638200686215896e-11
700,2.275690746955661e-11
800,2.8639313143230538e-11
900,3.373656909388956e-11
1000,3.7776004546685726e-11
10000,-1.6342482922482304e-13
10100,-1.6342482922482304e-13
10200,-1.5276668818842154e-13
10300,-9.592326932761353e-14
10400,-6.039613253960852e-14
10500,-2.1316282072803006e-14
10600,-1.3145040611561853e-13
10700,-1.4210854715202004e-14
10800,-9.237055564881302e-14
10900,-2.4868995751603507e-14
1100,4.084554916516936e-11
11000,0.0
11100,1.2079226507921703e-13
11200,7.460698725481052e-14
11300,-1.4210854715202004e-14
11400,7.105427357601002e-15
11500,-3.552713678800501e-15
11600,7.105427357601002e-14
11700,1.3855583347321954e-13
11800,-7.105427357601002e-15
11900,3.552713678800501e-15
1200,4.260947150669381e-11
12000,5.3290705182007514e-14
12100,4.263256414560601e-14
12200,4.263256414560601e-14
12300,-2.1316282072803006e-14
12400,-2.842170943040401e-14
12500,4.263256414560601e-14
12600,1.4210854715202004e-14
12700,1.4210854715202004e-14
12800,6.394884621840902e-14
12900,4.973799150320701e-14
1300,4.334488323820551e-11
13000,3.552713678800501e-15
13100,4.263256414560601e-14
13200,3.197442310920451e-14
13300,1.2434497875801753e-13
13400,4.618527782440651e-14
13500,4.263256414560601e-14
13600,6.394884621840902e-14
13700,1.8829382497642655e-13
13800,3.907985046680551e-14
13900,5.684341886080802e-14
1400,4.32578417530749e-11
14000,7.105427357601002e-14
14100,7.105427357601002e-14
14200,5.684341886080802e-14
14300,7.105427357601002e-14
14400,8.526512829121202e-14
14500,4.618527782440651e-14
14600,-3.907985046680551e-14
14700,-1.4210854715202004e-14
14800,-1.0658141036401503e-14
14900,-2.1316282072803006e-14
1500,4.2444270320629585e-11
15000,-3.197442310920451e-14
15100,-9.592326932761353e-14
15200,-4.263256414560601e-14
15300,-4.618527782440651e-14
15400,7.105427357601002e-15
15500,6.750155989720952e-14
15600,1.2789769243681803e-13
15700,6.394884621840902e-14
15800,1.0302869668521453e-13
15900,1.1723955140041653e-13
1600,4.1030290276466985e-11
16000,1.8829382497642655e-13
16100,2.3447910280083306e-13
16200,3.019806626980426e-13
16300,2.7000623958883807e-13
16400,2.8066438062523957e-13
16500,2.877698079828406e-13
16600,3.304023721284466e-13
16700,2.2382096176443156e-13
16800,1.8474111129762605e-13
16900,2.0605739337042905e-13
1700,3.920064273188473e-11
17000,1.7763568394002505e-13
17100,1.1013412404281553e-13
17200,1.3145040611561853e-13
17300,1.1013412404281553e-13
17400,5.3290705182007514e-14
17500,6.750155989720952e-14
17600,6.394884621840902e-14
17700,4.973799150320701e-14
17800,2.1316282072803006e-14
17900,7.105427357601002e-14
1800,3.709743623403483e-11
18000,7.815970093361102e-14
18100,1.0658141036401503e-13
18200,4.263256414560601e-14
18300,6.394884621840902e-14
18400,2.4868995751603507e-14
18500,3.552713678800501e-14
18600,1.7763568394002505e-14
18700,0.0
18800,8.171241461241152e-14
18900,8.526512829121202e-14
1900,3.4937386317324126e-11
19000,9.592326932761353e-14
19100,1.1723955140041653e-13
19200,8.526512829121202e-14
19300,9.947598300641403e-14
19400,9.947598300641403e-14
19500,1.5276668818842154e-13
19600,1.4921397450962104e-13
19700,1.4566126083082054e-13
19800,1.1013412404281553e-13
19900,1.3855583347321954e-13
2000,3.250377744734578e-11
20000,1.1368683772161603e-13
20100,2.842170943040401e-14
20200,1.3500311979441904e-13
20300,9.592326932761353e-14
20400,4.973799150320701e-14
20500,1.1013412404281553e-13
20600,8.526512829121202e-14
20700,7.460698725481052e-14
20800,1.3145040611561853e-13
20900,1.4566126083082054e-13
2100,3.008793214576144e-11
21000,1.2079226507921703e-13
21100,1.8829382497642655e-13
21200,1.4921397450962104e-13
21300,1.2079226507921703e-13
21400,7.815970093361102e-14
