time,twist_r=0.30,twist_r=0.70,twist_r=1.10
0.0,0.0,0.0,0.0
0.5,-0.1087792941290726,-0.08520425893161795,-0.06262816608319349
1.0,-0.16844697462588867,-0.13704351321395616,-0.10522105353026814
1.5,-0.22793017476430083,-0.19096365811456598,-0.1483183894863479
2.0,-0.2840612734677855,-0.2410093068152906,-0.1903005334458139
2.5,-0.33849007067352704,-0.28747772240416725,-0.22786666674853764
3.0,-0.3844943436785204,-0.3275867111555684,-0.2609128368447851
3.5,-0.4261473379485688,-0.3639505859316309,-0.2905212049344382
4.0,-0.4466719996190847,-0.3844431875487956,-0.31042491308753045
4.5,-0.47347951031960467,-0.4086825954270207,-0.32916240753879705
5.0,-0.51273369027755,-0.4391567396044203,-0.35136126307659915
5.5,-0.5297329734539021,-0.45574328101962985,-0.3663186816104831
6.0,-0.5487637475905761,-0.4717980414111011,-0.37874082907694107
6.5,-0.5710575426596811,-0.4895194137199885,-0.3918264639825911
7.0,-0.5879275138919312,-0.5043359497720867,-0.4030357581540929
7.5,-0.6023514570403062,-0.5153259660158737,-0.4116364462387944
8.0,-0.6118049853906135,-0.5251677958706347,-0.4193969814346059
8.5,-0.6214602989888988,-0.5325788407752293,-0.4243101909533084
9.0,-0.6363575260963235,-0.5406202410432012,-0.4287528286686305
9.5,-0.6426939244432112,-0.5473921645253905,-0.43351750281727514
10.0,-0.6395149586969677,-0.5468156141708574,-0.43400545809566693
10.5,-0.6525825268734698,-0.5529339390602594,-0.43602071295153233
11.0,-0.6558828407147977,-0.5541623362689924,-0.435812913050645
11.5,-0.6516520225227899,-0.5517931037252405,-0.4340958590465334
12.0,-0.6589102064808814,-0.5543605364505727,-0.4339556864173445
12.5,-0.6528120452790274,-0.5488456149456103,-0.42967921357539013
13.0,-0.6520252273560061,-0.5452894484318571,-0.42536938044996075
13.5,-0.6536082301062388,-0.5426467764243318,-0.42166962326762
14.0,-0.6436326914341416,-0.5368643560860255,-0.4172864282366543
14.5,-0.6459831587549867,-0.5323908115617004,-0.41187997925302416
15.0,-0.6295522428868422,-0.5186418636258183,-0.40225512486917764
15.5,-0.6270769410906858,-0.5136291845543386,-0.3960131419083754
16.0,-0.615533849388566,-0.5037396729841354,-0.38890606702676367
16.5,-0.6048060574316961,-0.49175500952371576,-0.3791387868732922
17.0,-0.5933000463823938,-0.48170054705618326,-0.37068081692702537
17.5,-0.586017325569629,-0.47104420460943075,-0.3616777798036242
18.0,-0.5705442025267486,-0.4596041260095026,-0.35299985209007734
18.5,-0.5636493444694423,-0.44945087367020464,-0.3440224571707837
19.0,-0.551527103425616,-0.4371559806382785,-0.3345683890724234
19.5,-0.5338994831499968,-0.42322348159913165,-0.3239983312824093
20.0,-0.5286862875462538,-0.4156088233820256,-0.3166061470678739
20.5,-0.5124335496210185,-0.40204559196000544,-0.30718010305575616
21.0,-0.4984641955303491,-0.3882533417901663,-0.29627963134704965
21.5,-0.4850944779018908,-0.3765043761154747,-0.28717934415674773
22.0,-0.4709449088281067,-0.3634251584886361,-0.2773791650663184
22.5,-0.4551870000470199,-0.349936104030781,-0.267062851438125
23.0,-0.44328949163916215,-0.3392623083526817,-0.25852734082261186
23.5,-0.42246218382108097,-0.3232762922942577,-0.2476901642963036
24.0,-0.40921930947417184,-0.3120203943928076,-0.23851614902701962
24.5,-0.39710372353426976,-0.3015425180913305,-0.23031645174141613
25.0,-0.3715953874154617,-0.2846798565159823,-0.21951786245034152
25.5,-0.3565858151817823,-0.2716449623819616,-0.20934891361356164
26.0,-0.34961318514771983,-0.2642883259465868,-0.20251762765091613
26.5,-0.32449544316595075,-0.24856691607425602,-0.19280340975596824
27.0,-0.3124626108691429,-0.23723587541565905,-0.18356481319002346
27.5,-0.2999400072415088,-0.2278033041147958,-0.17633777335930498
28.0,-0.2822057624774355,-0.21534085153871013,-0.1678140922916065
28.5,-0.27235878941344727,-0.20628192653150307,-0.16029966233989865
29.0,-0.2551725369577701,-0.19563646202874926,-0.1532678418013917
29.5,-0.23650258589302123,-0.18268894822267082,-0.1443256050584142
30.0,-0.22784301041180355,-0.17466140056867682,-0.13732588764968526
30.5,-0.21715970445658297,-0.1667286580323136,-0.1313158243426804
31.0,-0.20296759363791464,-0.15683699646161964,-0.1243179829066031
31.5,-0.19552806655669186,-0.15005320170114633,-0.11859053914801881
32.0,-0.1853229468927518,-0.14263273792512218,-0.11305769232999166
32.5,-0.1752012467854039,-0.13512932890741433,-0.10744588010529856
33.0,-0.1673120503378075,-0.1287651339253783,-0.10236438942978228
33.5,-0.1588773866470807,-0.12246192732809552,-0.09757142576998666
34.0,-0.1499025415160246,-0.1158961198465025,-0.09265035801925606
34.5,-0.14458683023274413,-0.1110670367025948,-0.08852292844773596
35.0,-0.1351560680603644,-0.10493421650107161,-0.08418226103969802
35.5,-0.12774116583809808,-0.099215265194521,-0.07982335381614644
36.0,-0.12202213275420412,-0.09484430772633108,-0.07620741754427454
36.5,-0.11139353590679107,-0.08814205777882628,-0.0717046841816555
37.0,-0.10574780689275262,-0.08326086139607772,-0.0677481287595277
37.5,-0.09913363294950313,-0.07866017058389893,-0.06422375914217698
38.0,-0.0934675075986242,-0.07420360759685155,-0.060752742448798816
38.5,-0.08830619151625183,-0.0701699748313533,-0.057551607376912416
39.0,-0.0838228670933589,-0.06666812990778052,-0.054706626687787585
39.5,-0.07900961061029622,-0.06295619924062411,-0.05181385006881256
40.0,-0.07506219418246977,-0.05979892220511315,-0.04924400634435657
40.5,-0.07139267558417947,-0.056844639399500276,-0.046819129205163484
41.0,-0.0674630849611184,-0.05386964301024556,-0.04447735632994268
41.5,-0.06455060839757,-0.05132531166429249,-0.042325711010867254
42.0,-0.06138804151118843,-0.0488797278034023,-0.040346574849356005
42.5,-0.0582929010667516,-0.04646010555662343,-0.038393158472618066
43.0,-0.05586023397258684,-0.044330868524844726,-0.03658775025883611
43.5,-0.05303482896133934,-0.04219583013141907,-0.03486855414595873
44.0,-0.050635598780206036,-0.040190799291661486,-0.03320111162110229
44.5,-0.04845299972335512,-0.03838777551887331,-0.031693002328933684
45.0,-0.0461820533216479,-0.03659180284664032,-0.030228331738486908
45.5,-0.04417104332665458,-0.03494633008911268,-0.028860920425180993
46.0,-0.042347321231952874,-0.03341003012089487,-0.027553466347398515
46.5,-0.04047844641549453,-0.0318988896970575,-0.02631144633819452
47.0,-0.03869179212961036,-0.030468995264140455,-0.02512985911259926
47.5,-0.03719867473304995,-0.029170064462653123,-0.024017045089542804
48.0,-0.035573382220042755,-0.027878389237464933,-0.022949384941302435
48.5,-0.03409455299841847,-0.0266637011643043,-0.02193375219353303
49.0,-0.032821794265758444,-0.025567954602722487,-0.020999434141652423
49.5,-0.0313773405234069,-0.02442840527334356,-0.02006396392710143
50.0,-0.03020916466458635,-0.02342195608143819,-0.019204780380634036
50.5,-0.028989085781009827,-0.02243072095291328,-0.01835013435237767
51.0,-0.027755889198956035,-0.02140786651180488,-0.017499762078839413
51.5,-0.026709242662296323,-0.020539579668503036,-0.016777160268954348
52.0,-0.025790667113126622,-0.019749127365137217,-0.01610053541101044
52.5,-0.0248748697857912,-0.018980960174370724,-0.015450693534629018
53.0,-0.02399532646387562,-0.018240984618033057,-0.014829365571118724
53.5,-0.023183991885508178,-0.017531392841459433,-0.01420560742855955
54.0,-0.02235091325541489,-0.0168459202177362,-0.013641787580122544
54.5,-0.021642958136871105,-0.01623233311082725,-0.013115354969211061
55.0,-0.020918953756831123,-0.01564202309853676,-0.012618949802231891
