step,twist_energy_total,discarded_total,Lz_total
0,3.51384e-07,0.00000e+00,1.64113e-24
25,1.84600e-04,1.37307e-06,5.51629e-23
50,2.78305e-04,2.16728e-06,2.54519e-23
75,3.63966e-04,2.75951e-06,-8.90408e-23
100,2.02175e-02,1.32977e-04,2.94447e-23
125,1.86723e+00,1.42777e-02,-1.71976e-21
150,7.47264e+00,5.87595e-02,-3.27956e-21
175,1.33668e+01,1.06152e-01,3.02572e-21
200,1.59813e+01,1.27778e-01,-5.63882e-21
225,1.46581e+01,1.17642e-01,-3.90345e-21
250,1.21835e+01,9.78049e-02,3.00707e-21
275,1.07995e+01,8.64886e-02,5.37548e-22
300,1.08160e+01,8.64489e-02,-5.65394e-22
325,1.13331e+01,9.05997e-02,-5.32784e-22
350,1.12463e+01,9.00633e-02,-7.20402e-22
375,1.00986e+01,8.10376e-02,1.05720e-21
400,8.32421e+00,6.68793e-02,3.04932e-22
425,6.71705e+00,5.39499e-02,-2.82909e-22
450,5.59532e+00,4.49135e-02,-3.12979e-22
475,4.66676e+00,3.74827e-02,8.47033e-23
500,3.68144e+00,2.96126e-02,-1.05032e-22
525,2.67685e+00,2.15676e-02,-3.76930e-22
550,1.81442e+00,1.46326e-02,2.84603e-22
575,1.24717e+00,1.00396e-02,2.62580e-23
600,1.01572e+00,8.14211e-03,-4.23516e-23
625,9.61878e-01,7.70107e-03,4.02341e-23
650,8.84012e-01,7.09192e-03,-3.77988e-22
675,7.03364e-01,5.66238e-03,3.04932e-23
700,4.63107e-01,3.74307e-03,-3.45537e-22
725,2.43577e-01,1.97876e-03,4.38340e-23
750,1.01077e-01,8.23735e-04,1.72795e-22
775,4.74588e-02,3.82757e-04,-1.66865e-22
800,4.64434e-02,3.69846e-04,3.38813e-23
825,6.14842e-02,4.88640e-04,-1.02915e-22
850,8.35624e-02,6.65291e-04,2.73115e-22
875,9.18785e-02,7.35282e-04,-1.78724e-22
900,8.30553e-02,6.66601e-04,2.03288e-23
925,6.52731e-02,5.23326e-04,-1.78936e-22
950,2.39139e-01,1.81712e-03,1.59269e-22
975,2.50834e+00,1.93138e-02,9.46665e-22
1000,1.08186e+01,8.46459e-02,-5.11184e-22
1025,2.48965e+01,1.96743e-01,1.26039e-21
1050,3.84136e+01,3.05533e-01,-1.49501e-21
1075,4.40394e+01,3.52365e-01,-7.96889e-21
1100,3.70326e+01,2.98130e-01,8.22638e-21
1125,2.50310e+01,2.01801e-01,4.54857e-21
1150,1.95214e+01,1.56446e-01,6.77626e-23
1175,1.93830e+01,1.54995e-01,-8.67362e-22
1200,1.88046e+01,1.50723e-01,1.81731e-21
1225,1.54446e+01,1.24293e-01,2.00620e-21
1250,1.01351e+01,8.19582e-02,-1.23413e-21
1275,5.14594e+00,4.18360e-02,-2.01594e-22
1300,2.04714e+00,1.67025e-02,4.10811e-23
1325,8.51810e-01,6.89960e-03,4.30293e-22
1350,6.36981e-01,5.10476e-03,-1.35525e-22
1375,5.57371e-01,4.47822e-03,3.77777e-22
1400,4.05612e-01,3.27040e-03,-2.96885e-22
1425,2.59642e-01,2.09721e-03,4.02764e-22
1450,1.54386e-01,1.24862e-03,9.40207e-23
1475,9.01748e-02,7.28039e-04,5.08220e-24
1500,9.13617e-02,7.21639e-04,1.00797e-22
1525,2.35601e-01,1.84707e-03,-1.22820e-22
1550,5.07858e-01,4.02056e-03,-6.35275e-23
1575,6.63177e-01,5.29996e-03,-2.27428e-22
1600,5.86314e-01,4.71167e-03,4.78574e-23
1625,5.09906e-01,4.07362e-03,-6.64074e-22
1650,7.33145e-01,5.79445e-03,-9.98440e-23
1675,1.42839e+00,1.12784e-02,8.16540e-22
1700,2.40604e+00,1.91004e-02,1.03634e-21
1725,3.10197e+00,2.47325e-02,2.57074e-22
1750,3.62344e+00,2.88751e-02,1.10623e-21
1775,4.77989e+00,3.79541e-02,-1.65087e-21
1800,7.54578e+00,5.97298e-02,-1.35525e-23
1825,1.27697e+01,1.01152e-01,4.70950e-22
1850,1.90806e+01,1.51698e-01,-6.77626e-24
1875,2.35200e+01,1.87687e-01,3.71000e-21
1900,2.45985e+01,1.96862e-01,6.63227e-22
1925,2.27387e+01,1.82336e-01,1.64579e-21
